Section	Temperature Measurements	Expected Robots	Actual Robots	Goal Fulfilment Times
B	[10.57, 20.15, 18.57, 12.47, 27.2, 21.74, 27.53, 22.34, 18.68, 24.21]	2.0	2.0	267
A	[26.31, 17.86, 28.76, 24.33, 17.75, 20.51, 24.96, 19.49, 24.69, 19.74]	2.0	1.0	126
D	[25.21, 29.81, 19.96, 11.38, 26.81, 21.46, 22.63, 20.27, 12.77, 24.92]	1.0	0.0	0
C	[22.19, 25.35, 24.12, 19.79, 15.94, 15.97, 22.17, 20.24, 19.95, 28.56]	4.0	2.0	207
D	[20.91, 23.57, 23.32, 15.97, 26.63, 22.28, 25.05, 10.91, 16.94, 18.83]	3.0	2.0	149
B	[23.78, 22.03, 23.0, 15.2, 17.51, 12.36, 19.93, 19.01, 24.19, 18.39]	2.0	0.0	0
B	[22.86, 23.34, 25.05, 18.17, 15.13, 17.89, 13.4, 16.12, 15.48, 21.2]	2.0	2.0	157
C	[16.96, 25.22, 20.59, 18.44, 17.87, 24.77, 26.82, 30.27, 11.55, 21.15]	1.0	0.0	0
A	[20.34, 26.64, 10.75, 22.71, 29.95, 13.46, 25.59, 21.81, 26.15, 27.92]	4.0	4.0	169
D	[26.54, 15.72, 25.78, 17.93, 28.28, 13.13, 26.38, 15.49, 18.97, 15.62]	2.0	1.0	64
D	[30.15, 12.81, 18.68, 18.21, 14.69, 21.73, 22.49, 27.24, 19.79, 15.05]	3.0	2.0	93
A	[11.6, 13.93, 21.54, 17.49, 16.19, 28.93, 24.31, 25.03, 28.24, 28.65]	1.0	1.0	274
D	[27.03, 29.8, 15.35, 12.3, 11.2, 17.91, 19.22, 17.58, 14.18, 19.67]	2.0	1.0	150
B	[24.11, 17.78, 21.58, 20.33, 11.62, 16.41, 11.4, 27.19, 27.27, 18.25]	3.0	1.0	193
A	[26.95, 27.75, 14.87, 16.58, 11.61, 27.51, 23.88, 25.84, 12.52, 18.75]	4.0	4.0	131
B	[18.43, 30.2, 15.12, 24.06, 10.21, 20.02, 24.71, 24.62, 11.7, 20.94]	4.0	0.0	0
B	[24.46, 29.27, 17.54, 25.33, 23.44, 26.04, 13.1, 29.67, 20.55, 12.59]	3.0	0.0	0
D	[13.0, 24.01, 27.37, 18.85, 19.08, 15.21, 11.25, 17.25, 10.88, 13.43]	3.0	0.0	0
A	[23.08, 14.2, 20.21, 15.53, 23.54, 12.82, 17.94, 26.53, 12.66, 24.93]	4.0	4.0	152
D	[24.33, 15.9, 24.88, 24.4, 23.92, 17.16, 28.93, 14.55, 25.57, 26.17]	1.0	1.0	193
D	[10.74, 23.22, 17.81, 25.28, 18.59, 20.78, 18.81, 30.26, 26.29, 23.03]	4.0	2.0	142
A	[17.26, 24.36, 21.89, 15.68, 28.42, 12.86, 11.73, 11.35, 29.85, 14.08]	4.0	3.0	161
D	[22.17, 18.44, 20.44, 19.98, 17.4, 16.37, 25.89, 26.03, 16.09, 17.93]	2.0	1.0	204
A	[29.87, 10.37, 11.02, 11.63, 19.68, 13.24, 27.43, 20.6, 14.49, 19.34]	1.0	1.0	157
B	[18.17, 29.69, 13.8, 17.42, 22.99, 18.53, 18.51, 12.83, 20.05, 17.65]	1.0	1.0	146
C	[21.69, 26.51, 29.57, 19.34, 10.52, 15.78, 17.28, 13.27, 24.11, 26.44]	1.0	0.0	0
D	[20.12, 14.45, 11.07, 28.0, 30.05, 18.49, 21.41, 18.75, 10.99, 23.24]	2.0	0.0	0
C	[29.68, 19.42, 25.3, 18.1, 16.18, 12.92, 24.12, 19.45, 29.97, 15.03]	3.0	0.0	0
B	[10.61, 13.87, 10.63, 14.71, 18.13, 17.84, 15.97, 29.91, 16.91, 24.69]	2.0	0.0	0
D	[17.96, 28.19, 11.12, 12.98, 22.4, 24.68, 26.63, 18.89, 22.97, 24.5]	4.0	1.0	218
B	[24.85, 12.02, 19.44, 29.52, 20.26, 29.39, 19.71, 10.92, 29.19, 17.22]	3.0	1.0	88
C	[16.45, 20.14, 19.08, 16.03, 17.29, 28.16, 14.72, 18.09, 23.13, 10.21]	1.0	0.0	0
A	[10.27, 26.87, 23.19, 16.64, 25.71, 14.94, 27.83, 20.52, 24.63, 21.77]	1.0	0.0	0
A	[19.9, 23.16, 15.26, 18.74, 26.1, 24.95, 18.86, 29.72, 14.07, 22.83]	3.0	2.0	190
A	[27.21, 28.52, 28.77, 13.36, 27.76, 14.55, 16.2, 17.18, 14.74, 20.69]	2.0	0.0	0
C	[20.61, 12.35, 12.7, 12.18, 22.27, 17.18, 18.04, 20.16, 28.24, 20.35]	1.0	0.0	0
C	[12.03, 11.25, 17.3, 10.48, 18.13, 19.22, 20.09, 14.64, 29.71, 20.73]	2.0	1.0	173
B	[29.2, 18.18, 16.19, 24.42, 23.94, 14.87, 26.29, 18.27, 18.07, 13.09]	4.0	0.0	0
C	[15.55, 15.37, 21.88, 29.81, 21.05, 12.86, 20.24, 24.08, 22.96, 21.07]	3.0	0.0	0
A	[17.83, 17.79, 21.15, 23.11, 13.41, 21.01, 16.42, 12.21, 18.08, 28.42]	4.0	3.0	209
D	[14.9, 24.14, 11.38, 14.39, 24.06, 22.41, 23.44, 23.2, 20.85, 30.26]	1.0	0.0	0
C	[23.0, 16.04, 22.96, 20.21, 11.51, 22.0, 22.48, 12.49, 17.74, 17.05]	4.0	4.0	199
C	[16.26, 24.12, 29.22, 24.56, 28.65, 14.53, 19.86, 27.61, 16.62, 21.76]	1.0	0.0	0
A	[26.23, 21.79, 19.77, 21.04, 13.91, 25.66, 28.62, 24.35, 19.35, 25.71]	3.0	3.0	183
C	[27.39, 21.83, 22.0, 26.43, 21.96, 19.71, 27.38, 15.58, 18.0, 29.03]	1.0	0.0	0
D	[12.48, 10.38, 11.47, 18.59, 25.35, 15.8, 23.59, 29.93, 24.96, 20.44]	2.0	2.0	236
C	[27.48, 29.25, 27.55, 20.84, 13.22, 23.29, 19.66, 28.24, 23.72, 27.65]	3.0	3.0	199
B	[13.08, 10.28, 22.28, 29.95, 29.38, 26.89, 17.15, 29.56, 28.35, 19.77]	4.0	2.0	202
B	[20.17, 27.12, 23.97, 12.22, 23.04, 29.45, 18.49, 26.67, 12.72, 22.68]	1.0	1.0	168
D	[24.6, 29.21, 26.31, 13.89, 11.56, 29.17, 11.13, 16.58, 17.85, 13.54]	3.0	0.0	0
A	[12.34, 24.58, 19.45, 11.07, 22.68, 26.39, 10.8, 22.69, 12.3, 11.32]	3.0	1.0	250
A	[11.26, 13.98, 23.02, 10.52, 21.69, 13.91, 28.02, 21.67, 25.08, 20.18]	1.0	0.0	0
A	[15.56, 21.45, 27.34, 21.62, 26.53, 17.15, 23.61, 14.03, 11.37, 13.13]	1.0	1.0	214
D	[28.94, 11.64, 22.79, 22.57, 25.75, 10.54, 27.15, 20.62, 23.66, 24.66]	3.0	2.0	144
D	[22.24, 24.36, 28.04, 20.44, 29.02, 25.63, 28.05, 14.12, 11.92, 17.66]	2.0	1.0	157
A	[18.2, 27.46, 27.35, 13.03, 14.81, 23.16, 24.34, 20.04, 20.71, 28.35]	1.0	0.0	0
A	[22.65, 20.97, 18.21, 12.03, 17.44, 21.05, 18.16, 19.76, 15.09, 14.58]	2.0	1.0	143
D	[18.91, 18.97, 19.25, 23.1, 14.55, 14.36, 21.23, 14.06, 22.59, 15.67]	3.0	1.0	176
A	[26.97, 11.64, 12.44, 18.89, 28.24, 22.67, 27.55, 15.38, 21.8, 21.07]	4.0	0.0	0
A	[19.42, 16.73, 21.21, 28.06, 16.44, 23.32, 19.09, 14.11, 16.76, 10.92]	2.0	2.0	138
A	[12.1, 18.34, 17.49, 11.41, 19.98, 10.92, 26.8, 11.87, 13.67, 23.19]	1.0	0.0	0
A	[21.16, 10.99, 23.42, 26.65, 20.64, 28.74, 25.35, 23.4, 28.44, 19.22]	3.0	0.0	0
D	[25.16, 14.49, 21.89, 26.59, 15.84, 25.84, 26.97, 25.29, 10.43, 27.47]	2.0	1.0	146
B	[22.7, 28.53, 25.62, 10.3, 29.5, 19.51, 29.3, 24.43, 15.31, 25.79]	2.0	0.0	0
D	[28.51, 18.26, 17.89, 12.3, 25.24, 25.62, 22.26, 15.25, 12.77, 13.56]	4.0	2.0	235
B	[28.71, 17.79, 29.07, 10.56, 14.12, 17.65, 29.52, 21.87, 10.5, 23.99]	3.0	3.0	182
C	[25.09, 13.02, 10.94, 22.62, 19.74, 29.73, 16.97, 29.34, 16.62, 20.25]	1.0	1.0	243
A	[18.19, 22.69, 28.6, 27.54, 11.14, 27.48, 13.06, 21.42, 13.23, 11.12]	4.0	3.0	164
C	[15.6, 21.34, 16.89, 23.86, 22.47, 22.34, 14.61, 21.93, 18.58, 24.95]	2.0	0.0	0
A	[13.21, 20.49, 10.32, 15.8, 25.88, 10.56, 18.45, 17.84, 16.57, 21.11]	3.0	2.0	181
B	[15.4, 27.89, 22.9, 18.02, 25.22, 14.49, 17.4, 14.21, 25.92, 19.95]	1.0	0.0	0
B	[13.3, 18.67, 12.01, 12.26, 23.17, 16.27, 28.46, 24.81, 19.92, 28.33]	2.0	0.0	0
D	[27.93, 12.22, 10.56, 20.4, 30.16, 20.04, 20.79, 16.27, 28.64, 20.62]	3.0	3.0	220
D	[16.21, 20.22, 21.44, 27.55, 19.83, 21.86, 29.31, 20.55, 15.28, 21.48]	2.0	2.0	191
C	[16.0, 22.22, 24.78, 13.71, 19.43, 14.73, 24.89, 22.89, 17.97, 13.87]	1.0	1.0	239
D	[22.71, 21.46, 16.88, 21.93, 23.03, 28.72, 22.25, 24.98, 28.29, 10.35]	2.0	2.0	151
B	[15.29, 22.28, 15.86, 18.85, 23.6, 20.08, 25.78, 12.74, 26.44, 14.3]	2.0	1.0	290
B	[24.93, 22.17, 15.48, 25.87, 14.5, 11.07, 29.77, 21.33, 13.88, 24.68]	2.0	2.0	215
B	[17.85, 21.32, 29.9, 21.18, 17.15, 20.51, 28.06, 18.28, 18.52, 10.39]	1.0	0.0	0
B	[19.0, 28.93, 10.61, 20.94, 23.87, 21.71, 16.55, 10.87, 29.45, 26.86]	3.0	0.0	0
A	[28.86, 19.44, 13.54, 20.62, 13.48, 23.83, 19.54, 15.98, 13.4, 21.3]	1.0	0.0	0
C	[23.69, 17.2, 21.65, 15.64, 29.06, 26.9, 21.7, 25.39, 27.54, 11.26]	2.0	0.0	0
C	[22.86, 26.9, 18.48, 30.07, 24.06, 29.49, 15.0, 26.85, 26.2, 23.11]	1.0	0.0	0
D	[29.05, 10.93, 19.07, 15.03, 14.04, 19.61, 15.56, 15.04, 21.63, 30.27]	3.0	3.0	145
B	[16.7, 10.57, 14.99, 19.17, 29.06, 19.64, 30.15, 24.71, 18.27, 21.07]	2.0	2.0	191
B	[21.16, 21.21, 11.77, 19.75, 10.78, 15.67, 30.29, 16.66, 19.09, 29.2]	3.0	0.0	0
D	[17.21, 23.36, 16.3, 16.05, 23.85, 25.65, 26.89, 16.63, 21.8, 24.13]	4.0	1.0	156
D	[24.64, 27.17, 16.26, 24.4, 13.92, 27.06, 28.63, 21.18, 13.55, 25.1]	3.0	1.0	74
D	[19.55, 27.44, 20.13, 16.81, 29.68, 17.57, 26.79, 28.14, 23.95, 15.67]	4.0	2.0	179
D	[12.83, 22.67, 20.35, 14.81, 23.24, 21.51, 14.5, 14.83, 10.23, 27.7]	4.0	0.0	0
D	[20.0, 24.27, 28.56, 18.93, 16.99, 15.32, 26.84, 24.56, 21.41, 25.49]	1.0	0.0	0
B	[23.48, 22.96, 18.24, 17.67, 25.25, 26.78, 19.28, 26.24, 20.55, 13.15]	3.0	2.0	172
B	[21.7, 15.96, 10.66, 29.96, 25.29, 22.48, 12.82, 23.77, 22.02, 15.47]	2.0	1.0	180
B	[14.69, 21.28, 28.52, 10.9, 18.06, 15.69, 27.3, 25.79, 13.2, 27.51]	1.0	1.0	87
B	[22.77, 19.35, 20.92, 26.39, 21.13, 25.28, 27.44, 12.62, 13.41, 18.42]	2.0	1.0	195
B	[28.65, 28.36, 28.61, 19.68, 21.88, 11.46, 17.25, 12.12, 14.96, 16.74]	3.0	0.0	0
D	[26.35, 24.54, 18.75, 18.21, 14.6, 27.74, 17.37, 28.89, 16.28, 29.07]	4.0	0.0	0
D	[20.78, 13.32, 17.82, 20.23, 17.45, 15.68, 13.9, 22.64, 22.13, 11.45]	2.0	2.0	209
B	[27.55, 13.2, 17.3, 11.5, 13.32, 19.87, 28.06, 28.78, 13.0, 24.74]	2.0	0.0	0
D	[25.95, 21.22, 14.0, 11.89, 28.99, 14.67, 19.55, 20.44, 18.71, 25.62]	3.0	1.0	86
D	[26.71, 21.51, 12.46, 29.29, 29.92, 19.83, 14.04, 17.75, 30.13, 25.78]	1.0	1.0	288
B	[29.53, 10.53, 23.7, 12.04, 27.55, 25.95, 27.21, 28.37, 25.02, 20.12]	2.0	0.0	0
C	[13.95, 26.22, 13.82, 22.67, 29.96, 12.42, 26.95, 16.11, 21.97, 10.96]	2.0	2.0	167
B	[28.59, 14.3, 14.11, 25.82, 12.97, 21.07, 13.89, 21.52, 14.36, 12.02]	3.0	0.0	0
C	[30.21, 10.27, 27.81, 19.89, 15.17, 17.23, 22.08, 29.77, 13.96, 18.77]	3.0	3.0	208
B	[25.03, 23.34, 15.34, 29.6, 20.28, 22.69, 27.56, 12.36, 27.2, 23.59]	2.0	1.0	244
B	[15.95, 12.29, 10.24, 13.69, 29.34, 21.58, 19.26, 18.18, 13.27, 11.91]	1.0	0.0	0
C	[26.61, 16.08, 20.39, 22.71, 15.81, 14.95, 23.43, 25.68, 16.81, 27.78]	1.0	0.0	0
B	[12.96, 20.26, 13.34, 20.16, 27.06, 19.38, 13.79, 30.18, 17.51, 26.89]	1.0	1.0	185
D	[24.76, 23.31, 22.94, 21.64, 12.71, 11.46, 11.97, 19.58, 14.39, 15.96]	3.0	3.0	234
B	[17.82, 18.46, 13.01, 18.74, 23.14, 29.67, 11.02, 27.36, 25.54, 17.54]	3.0	3.0	158
A	[28.83, 23.39, 26.16, 10.58, 18.66, 16.28, 20.09, 27.13, 21.03, 26.28]	2.0	2.0	241
A	[19.52, 27.43, 11.15, 18.63, 12.49, 23.07, 19.51, 16.89, 26.08, 15.46]	4.0	0.0	0
D	[17.42, 21.42, 13.41, 25.57, 21.8, 25.71, 18.22, 26.35, 20.96, 27.68]	3.0	1.0	204
D	[28.85, 12.79, 15.8, 16.17, 22.61, 21.18, 20.74, 11.21, 26.21, 14.9]	2.0	2.0	174
A	[17.44, 25.62, 12.62, 11.05, 21.55, 12.54, 11.05, 22.66, 22.85, 27.6]	1.0	0.0	0
A	[17.82, 20.84, 16.98, 17.44, 13.92, 14.31, 16.14, 23.89, 13.17, 15.77]	2.0	0.0	0
A	[25.29, 17.48, 14.61, 16.2, 10.99, 27.96, 17.11, 11.44, 17.98, 16.57]	1.0	1.0	266
B	[25.06, 10.23, 25.89, 28.17, 27.05, 29.12, 21.02, 16.7, 29.71, 12.28]	1.0	0.0	0
A	[17.78, 23.22, 10.41, 24.06, 10.46, 14.57, 13.33, 11.86, 28.64, 30.14]	4.0	3.0	150
A	[23.64, 22.07, 30.2, 18.27, 21.74, 28.13, 15.84, 11.87, 24.95, 25.29]	3.0	2.0	208
A	[23.67, 17.79, 22.96, 27.79, 15.37, 21.75, 28.96, 11.27, 27.93, 17.82]	2.0	2.0	149
A	[10.62, 19.29, 18.14, 28.4, 22.47, 22.73, 29.98, 17.02, 20.67, 19.39]	3.0	3.0	127
A	[15.09, 16.04, 13.03, 25.02, 28.23, 17.83, 24.69, 25.19, 19.45, 16.35]	3.0	1.0	299
B	[26.29, 10.85, 16.97, 16.35, 19.92, 18.01, 27.55, 19.46, 17.16, 22.09]	1.0	0.0	0
C	[29.43, 19.56, 27.36, 14.15, 10.8, 18.62, 24.82, 19.47, 25.64, 11.78]	4.0	0.0	0
B	[28.12, 24.12, 26.01, 20.36, 17.3, 12.44, 28.27, 13.76, 28.75, 19.72]	1.0	1.0	293
B	[15.06, 16.62, 17.14, 10.55, 22.68, 15.08, 25.79, 24.81, 12.14, 20.98]	3.0	1.0	115
A	[13.34, 20.62, 11.5, 23.34, 21.56, 13.46, 20.52, 11.29, 16.88, 27.6]	1.0	0.0	0
A	[12.24, 26.95, 25.01, 29.93, 22.2, 17.9, 11.27, 29.37, 24.61, 26.91]	2.0	2.0	197
C	[18.13, 29.45, 29.45, 21.71, 25.79, 30.12, 23.24, 30.21, 21.75, 26.8]	4.0	0.0	0
D	[15.8, 27.99, 26.97, 11.83, 28.46, 12.77, 22.94, 29.26, 16.22, 29.11]	2.0	1.0	197
D	[22.08, 12.44, 24.6, 24.59, 25.12, 19.49, 23.02, 14.28, 21.89, 21.73]	1.0	0.0	0
C	[29.32, 14.28, 21.78, 29.29, 13.23, 18.81, 15.6, 21.67, 18.42, 29.18]	1.0	1.0	256
B	[18.41, 30.06, 18.22, 22.55, 16.54, 19.18, 27.59, 22.46, 20.74, 29.68]	2.0	2.0	213
D	[20.16, 20.5, 19.94, 16.52, 28.32, 27.54, 12.44, 11.75, 21.21, 29.22]	4.0	0.0	0
B	[21.44, 10.92, 28.12, 25.67, 21.82, 30.2, 10.92, 15.3, 20.95, 22.99]	2.0	1.0	221
D	[30.15, 21.02, 21.29, 27.51, 16.52, 18.56, 21.08, 15.34, 26.32, 29.93]	1.0	1.0	62
C	[11.39, 12.06, 20.8, 21.67, 26.34, 27.01, 25.89, 26.65, 17.96, 27.26]	1.0	0.0	0
D	[23.72, 20.47, 26.35, 22.58, 27.11, 18.42, 18.66, 21.05, 26.69, 26.84]	3.0	1.0	225
A	[14.06, 28.25, 25.61, 12.07, 28.24, 19.03, 16.02, 24.78, 14.2, 11.99]	3.0	3.0	149
D	[21.23, 12.93, 27.7, 18.83, 14.9, 19.39, 29.35, 21.3, 11.6, 25.89]	3.0	1.0	243
D	[16.76, 25.08, 22.44, 19.78, 12.28, 25.65, 20.27, 22.9, 29.45, 11.38]	4.0	0.0	0
D	[12.39, 14.41, 12.47, 17.6, 30.18, 26.66, 28.53, 26.24, 28.19, 24.2]	2.0	2.0	113
B	[15.25, 17.56, 24.81, 11.63, 24.22, 28.27, 27.78, 21.18, 24.92, 17.35]	1.0	0.0	0
D	[21.61, 23.24, 27.11, 22.85, 22.43, 25.38, 10.43, 16.58, 25.2, 25.73]	3.0	3.0	192
D	[17.14, 14.52, 25.06, 22.39, 19.59, 19.07, 11.36, 25.4, 26.64, 15.4]	4.0	4.0	178
C	[21.13, 19.05, 27.79, 14.1, 13.43, 23.53, 14.7, 22.23, 29.51, 19.74]	4.0	1.0	146
B	[30.29, 10.29, 19.83, 16.01, 16.04, 23.46, 11.76, 18.31, 18.3, 12.54]	1.0	0.0	0
B	[20.36, 29.75, 15.61, 23.32, 14.28, 10.38, 10.34, 22.24, 15.79, 12.46]	4.0	2.0	134
C	[19.64, 13.7, 13.06, 11.4, 16.06, 28.37, 13.32, 26.52, 13.49, 11.9]	2.0	0.0	0
A	[20.8, 24.87, 20.48, 19.31, 21.56, 25.89, 26.18, 18.48, 25.09, 20.8]	4.0	2.0	197
C	[27.58, 19.77, 18.3, 26.27, 18.66, 18.08, 20.09, 13.4, 22.31, 15.24]	2.0	1.0	71
D	[22.08, 19.14, 15.37, 17.75, 22.47, 22.54, 22.32, 22.61, 21.5, 11.93]	1.0	0.0	0
A	[19.98, 12.99, 23.73, 14.21, 12.01, 19.07, 14.47, 28.18, 22.44, 21.94]	4.0	3.0	120
D	[23.96, 25.38, 20.66, 27.62, 16.67, 12.61, 12.58, 15.8, 23.03, 12.85]	1.0	1.0	116
A	[20.82, 11.73, 14.74, 23.29, 19.89, 11.76, 20.87, 12.72, 15.23, 11.53]	1.0	0.0	0
A	[19.08, 16.76, 29.65, 23.51, 16.77, 22.74, 17.97, 18.29, 27.67, 22.43]	1.0	1.0	151
D	[24.13, 11.19, 28.81, 14.34, 11.6, 22.49, 24.23, 20.64, 18.36, 26.74]	3.0	1.0	138
B	[12.91, 21.38, 22.04, 28.3, 21.55, 16.64, 13.39, 27.97, 15.95, 22.86]	2.0	0.0	0
B	[17.22, 25.32, 19.85, 18.13, 22.85, 17.22, 28.72, 29.71, 20.59, 13.73]	3.0	3.0	128
C	[12.12, 16.9, 24.39, 11.12, 10.23, 27.23, 29.49, 12.24, 28.19, 17.87]	4.0	1.0	139
D	[16.49, 28.33, 25.15, 18.92, 17.77, 18.01, 27.0, 27.77, 27.8, 21.41]	1.0	1.0	199
C	[20.13, 21.07, 11.06, 23.46, 28.66, 22.31, 25.71, 22.68, 18.94, 24.58]	1.0	0.0	0
C	[29.86, 16.21, 20.24, 19.66, 16.24, 11.92, 14.12, 21.1, 29.59, 13.05]	3.0	0.0	0
C	[23.24, 25.27, 27.33, 17.41, 22.69, 12.27, 27.28, 22.33, 27.69, 12.6]	2.0	2.0	194
A	[19.44, 29.02, 14.33, 26.13, 14.48, 19.44, 27.32, 27.93, 29.04, 24.68]	2.0	0.0	0
B	[24.31, 21.95, 13.95, 10.66, 18.56, 17.39, 16.9, 23.94, 21.6, 24.06]	1.0	0.0	0
D	[12.56, 12.73, 30.07, 21.25, 17.7, 19.45, 12.42, 19.3, 29.1, 22.94]	4.0	3.0	226
D	[10.73, 29.13, 21.7, 28.86, 27.94, 18.41, 25.7, 18.02, 23.34, 27.6]	3.0	1.0	132
B	[29.38, 12.67, 12.91, 15.6, 23.75, 27.6, 17.64, 26.95, 11.96, 26.29]	2.0	1.0	117
D	[27.79, 23.65, 25.24, 25.53, 23.47, 19.88, 25.69, 24.83, 25.68, 21.36]	3.0	0.0	0
D	[15.98, 13.33, 20.35, 18.03, 16.07, 29.77, 11.11, 29.76, 20.03, 21.01]	3.0	3.0	116
A	[17.14, 14.34, 10.3, 16.17, 29.63, 19.11, 13.02, 26.1, 12.15, 13.43]	4.0	4.0	191
C	[24.03, 13.23, 14.96, 13.93, 25.39, 26.32, 22.73, 13.77, 11.55, 15.65]	4.0	2.0	210
D	[20.9, 18.16, 10.89, 20.97, 28.2, 21.54, 16.74, 24.35, 14.61, 29.63]	1.0	1.0	143
D	[22.63, 17.02, 26.22, 24.4, 22.36, 13.6, 20.84, 19.45, 26.93, 13.04]	3.0	3.0	163
D	[25.8, 10.42, 19.31, 16.27, 23.3, 21.36, 15.73, 16.73, 29.43, 28.63]	4.0	3.0	192
D	[12.87, 16.69, 26.13, 23.28, 20.41, 19.98, 14.57, 12.14, 28.32, 28.16]	2.0	1.0	94
A	[17.47, 24.24, 23.05, 28.13, 16.69, 20.48, 22.63, 23.94, 16.14, 20.84]	2.0	2.0	111
D	[20.94, 21.79, 23.41, 19.35, 22.71, 19.45, 20.7, 10.55, 21.45, 18.94]	1.0	0.0	0
B	[22.49, 14.94, 28.31, 19.85, 13.63, 29.18, 18.56, 10.77, 26.66, 21.95]	2.0	2.0	146
D	[22.88, 29.15, 13.92, 22.34, 16.39, 11.2, 18.47, 11.35, 19.16, 28.93]	4.0	3.0	180
C	[21.21, 18.63, 25.59, 29.68, 22.77, 21.12, 16.09, 20.87, 19.68, 17.71]	2.0	2.0	169
B	[22.51, 11.32, 15.51, 26.44, 17.54, 26.52, 27.27, 29.66, 27.0, 18.17]	2.0	2.0	235
D	[26.76, 17.11, 13.98, 23.01, 14.57, 13.22, 22.45, 21.49, 24.72, 11.92]	1.0	0.0	0
B	[26.75, 22.51, 15.3, 29.72, 15.87, 16.86, 18.31, 24.38, 20.1, 24.72]	3.0	1.0	239
A	[24.51, 11.13, 14.13, 19.57, 16.4, 22.33, 20.4, 28.56, 14.81, 29.74]	1.0	1.0	251
B	[13.63, 25.31, 22.33, 15.88, 12.92, 14.22, 13.8, 13.85, 10.3, 23.08]	2.0	1.0	262
A	[18.91, 22.55, 29.27, 20.11, 11.3, 23.84, 20.2, 26.13, 26.69, 28.25]	1.0	0.0	0
D	[12.81, 28.81, 26.78, 16.88, 20.12, 21.55, 14.59, 14.84, 26.48, 17.05]	2.0	0.0	0
B	[18.43, 16.75, 12.98, 19.23, 23.74, 26.87, 26.92, 27.48, 26.44, 18.16]	3.0	1.0	69
B	[25.2, 29.4, 20.4, 17.79, 16.52, 15.45, 15.44, 16.61, 13.46, 11.31]	3.0	1.0	197
A	[19.96, 15.18, 29.85, 29.17, 25.39, 27.13, 12.24, 19.12, 15.87, 12.58]	4.0	2.0	69
B	[24.39, 15.58, 18.55, 15.17, 24.9, 16.14, 13.74, 13.76, 28.67, 23.37]	2.0	2.0	145
D	[12.17, 12.74, 27.76, 24.03, 11.36, 28.81, 15.92, 29.2, 12.83, 15.59]	2.0	2.0	165
C	[22.38, 16.41, 18.61, 28.06, 19.6, 22.83, 22.81, 20.71, 23.77, 22.72]	3.0	0.0	0
D	[19.23, 27.22, 29.28, 21.76, 26.0, 15.1, 21.87, 13.65, 19.77, 18.83]	3.0	2.0	209
D	[20.29, 10.6, 19.34, 14.15, 11.47, 18.19, 13.17, 16.65, 14.33, 21.74]	4.0	3.0	208
D	[17.73, 14.38, 15.16, 25.15, 26.46, 21.83, 13.65, 20.72, 17.97, 14.07]	1.0	1.0	121
D	[17.37, 16.3, 21.75, 17.67, 12.86, 14.57, 15.47, 16.17, 24.95, 14.17]	3.0	0.0	0
B	[15.12, 23.28, 17.28, 24.38, 30.27, 10.43, 25.03, 11.2, 12.31, 30.18]	3.0	2.0	125
D	[13.82, 17.72, 14.74, 28.81, 12.72, 27.17, 29.83, 25.39, 10.52, 25.68]	4.0	3.0	241
A	[17.87, 17.88, 23.29, 21.6, 23.32, 22.27, 24.71, 21.57, 29.34, 25.05]	2.0	1.0	119
C	[11.12, 25.06, 30.01, 18.73, 17.68, 23.13, 26.87, 18.51, 22.35, 15.76]	2.0	1.0	208
B	[27.18, 19.65, 25.83, 22.72, 14.59, 23.43, 29.31, 20.43, 27.55, 26.36]	3.0	0.0	0
D	[29.54, 25.16, 14.47, 18.43, 21.2, 26.34, 30.06, 15.19, 11.63, 23.93]	1.0	1.0	199
B	[15.13, 14.41, 12.84, 21.95, 10.52, 23.88, 21.86, 27.0, 12.3, 20.33]	2.0	0.0	0
D	[19.74, 28.56, 24.9, 30.24, 14.85, 15.14, 23.98, 14.82, 24.26, 18.39]	4.0	0.0	0
A	[20.55, 27.91, 11.21, 25.98, 22.0, 12.69, 20.71, 26.88, 14.88, 27.7]	1.0	1.0	165
D	[25.42, 17.99, 16.45, 17.37, 24.86, 23.62, 10.77, 22.45, 21.64, 28.78]	2.0	0.0	0
B	[11.2, 24.4, 16.87, 29.95, 25.58, 26.88, 28.76, 26.09, 19.83, 15.07]	3.0	2.0	100
D	[24.75, 14.56, 19.88, 19.01, 27.24, 23.69, 10.41, 17.03, 20.69, 21.01]	4.0	0.0	0
C	[20.69, 21.2, 28.27, 24.26, 11.06, 21.81, 15.9, 28.28, 29.5, 15.38]	2.0	1.0	228
A	[10.65, 21.82, 20.13, 26.58, 15.16, 20.59, 28.17, 21.54, 14.74, 14.92]	4.0	2.0	216
B	[13.39, 15.39, 18.35, 22.18, 22.97, 22.48, 17.71, 21.71, 21.75, 24.58]	4.0	1.0	81
B	[13.07, 24.29, 21.32, 14.86, 24.91, 18.1, 17.39, 23.18, 11.61, 23.23]	3.0	2.0	183
C	[13.82, 17.8, 26.81, 24.67, 25.0, 29.69, 17.1, 29.62, 25.1, 25.9]	4.0	3.0	152
D	[16.79, 23.83, 14.29, 16.76, 14.58, 30.04, 20.83, 19.73, 27.72, 21.39]	3.0	0.0	0
A	[24.53, 26.45, 24.78, 21.79, 28.53, 20.88, 13.31, 13.5, 27.55, 16.23]	2.0	2.0	226
A	[27.51, 23.1, 15.27, 20.51, 19.16, 11.88, 22.86, 12.96, 23.29, 26.01]	2.0	0.0	0
